name,valency,g1_firing_fraction_nocrosslink,g2_mean_cluster_size,g3_percolation_margin,g4_geometry_match,g5_epitope_proximity,g6_hyperclustering_propensity,firing_fraction_crosslinked,crosslink_dependence_index
DR5Nb1,1,0.0,1.0,0.0011,0.7788,1.5,0.0,0.3704,0.3704
Conatumumab,2,0.2269,3.66,0.0243,0.0468,1.5,0.1367,0.6871,0.4601
Lexatumumab,2,0.2743,3.969,0.0267,0.0468,2.0,0.12,0.706,0.4317
Drozitumab,2,0.2292,3.638,0.0251,0.0468,1.5,0.1233,0.6799,0.4507
Tigatuzumab,2,0.3332,4.332,0.0311,0.0468,2.3,0.1689,0.709,0.3758
TRAIL,3,0.1339,3.465,0.0139,0.5698,1.5,0.0039,0.5568,0.4229
Eftozanermin,6,0.6789,52.807,0.399,0.0001,1.5,0.1006,0.6621,-0.0168
INBRX-109,4,0.5583,11.453,0.1269,0.0183,1.5,0.0444,0.6482,0.0899
IGM-8444,10,0.6939,127.567,0.5562,0.0,1.5,0.1839,0.6892,-0.0047
